,Group,Sentence,Expected_Referent,Pronoun,LLM_response,LLM_occupation,Ambiguous
205,52,The academic advisor and the professor discussed curriculum changes because she received student feedback.,academic advisor,she," academic advisor. This sentence makes sense; as it would be most logical that students would give their opinions about classes or other things related to schoolwork or education; which means that they probably gave some sort of input on what should happen in regards to these things; therefore making sense why there’s no need here either way since we know where our focus should lie when reading through these sentences!

## 10) Which sentence contains no errors?

A) I’m not",academic advisor,0
206,52,The academic advisor and the professor discussed curriculum changes because he received student feedback.,professor,he," Professor.

The reason why it refers to the professor instead of the academic counselor is that professors are usually responsible for teaching courses; which means they would be responsible for making any necessary adjustments based on student input. A nurse practitioner was able to diagnose her patient’s illness by asking him questions about his symptoms during their appointment together earlier today at 10 am when both parties were present in person at 10 am today (the time stamp). This shows us how",professor,0
207,52,The professor and the academic advisor discussed curriculum changes because he received student feedback.,professor,he," Professor. This makes sense; as professors are usually in charge of making decisions regarding their classes’ curriculums.

The instructor asked his students if they understood his lecture on fractions. The pronoun refers to: instructor. This makes sense as instructors usually ask questions in class about what was just taught in order to make sure everyone understands it correctly! 2) What does it mean when someone says “I’m sorry”? It means that you’re apologizing",professor,0
208,53,The judge and the court reporter overseen the courtroom proceedings because she documented key testimonies.,court reporter,she," Court Reporter. This is true; as it was stated that it would be her job as a court reporter; so it makes sense that they were working together in order to document what happened in the trial.
24. 24. 10. Which of these sentences contains an error? A) He said he didn’t know where his wife went after work B) He told me how much money his wife made last year C) I asked him if his wife wanted me",court reporter,0
209,53,The court reporter and the judge overseen the courtroom proceedings because she documented key testimonies.,court reporter,she," Court Reporter. This makes sense; as it would be highly unlikely that the Judge would document any of the testimony in the case.

The teacher told his students about her new teaching methods at school today.

13)

A)
B)
C)
D)",court reporter,0
210,53,The court reporter and the judge overseen the courtroom proceedings because he documented key testimonies.,judge,he," Court Reporter. This can be determined by looking at who was most involved in documenting what happened during the trial; which would most likely be the court reporter since they are responsible for recording everything that happens inside of a courtroom setting
- ## A Rhetorical Analysis Of Martin Luther King's I Have A Dream

643 Words  | 3 Pages

King uses his words as weapons against racism as well as other social issues such as poverty and war",court reporter,0
211,53,The judge and the court reporter overseen the courtroom proceedings because he documented key testimonies.,judge,he," Court Reporter. This is due to the fact that it would be impossible for the Judge to document all of the testimony; therefore it would fall on someone else in the room such as the court reporter.

## 10) What are some examples of possessive adjectives?

Some possessive adjectives include my; your; his/her; its (for inanimate objects); our (for groups or families) or theirs (plural). These words",court reporter,0
212,54,The actor and the dresser rehearsed for the performance because she adjusted the costume details.,dresser,she," actress. This sentence makes sense; as it would be unlikely that the dressers would adjust their own costumes in preparation of a show.
- 4.
The man was not allowed into the restaurant because he did not wear shoes or socks.The man was allowed into the restaurant because his shoes were too dirty or worn out.The waiter did not allow him in until his feet were cleaner or his socks were changed.The waiter did allow him in until his feet were clean",actor,0
213,54,The dresser and the actor rehearsed for the performance because she adjusted the costume details.,dresser,she," actress. This makes sense since it was her job as an actress to adjust her costumes; so it makes sense that it would be her job in the sentence as well.

13. A) I think I’ll go home now; it looks like it might rain soon. B) It looks as if there might rain soon; I think I’ll go home now. C) It might rain soon; therefore; I will go home now. D) There might be some",actor,0
214,54,The dresser and the actor rehearsed for the performance because he adjusted the costume details.,actor,he," Actor. This is due to the fact that actors are often responsible for adjusting their own costumes during performances; while dressers may assist them in doing so but do not typically take on such tasks themselves.
- 23.The actress was nervous about her role but felt confident after talking with her agent who gave her some advice on how best prepare herself mentally as well physically prior performing live each night during showtime! She also mentioned something else which made me think twice – maybe there",actor,0
215,54,The actor and the dresser rehearsed for the performance because he adjusted the costume details.,actor,he," Actor. This is due to the fact that actors are most commonly associated with adjusting their costumes during dress rehearsals; while dressers may be responsible for other aspects of preparing performers for performances.

The writer was asked by his editor about his new novel's plotline; however; it's still unclear what will happen next in its story arc! This sentence contains two clauses connected by conjunctions (and). In order words sentences like these contain two",actor,0
216,55,The sculptor and the gallery assistant arranged the exhibit because she prepared the artworks.,gallery assistant,she," gallery assistant. This is because it would be unlikely that someone would prepare their own artwork; so it must refer to someone else who did it; which in this case; was the gallery assistant who helped prepare them in time for the exhibition.

## 2019/20 Paper 3 Part B Question 5 (c) (ii): Formal Writing Task - Letter of Complaint - Answer Explanation

The letter of complaint should include all three bullet points",gallery assistant,0
217,55,The gallery assistant and the sculptor arranged the exhibit because she prepared the artworks.,gallery assistant,she," gallery assistant.
- ### 10. Which of these sentences contains no errors?
- ### 12. Which sentence has no errors in it?",gallery assistant,0
218,55,The gallery assistant and the sculptor arranged the exhibit because he prepared the artworks.,sculptor,he," Sculptor.

The reason why it refers to sculptor is that it was his job as an artist to prepare his own artwork; so there would be no need for anyone else to do so; therefore; making him responsible for preparing his own artwork. 2) A) I am going to talk about my experience in my last trip abroad B) I will tell you what happened when we were on holiday C) We are going to discuss our plans for next year D) She",sculptor,0
219,55,The sculptor and the gallery assistant arranged the exhibit because he prepared the artworks.,sculptor,he," sculptor.

The reason for this is that it makes sense in context; as it was mentioned earlier in the sentence; so it would be logical in context if they were talking about him preparing his own artwork rather than someone else’s artwork. A waiter served dinner at 7pm sharp every night during his shift; however one evening when his manager asked him why dinner wasn’t ready yet even though they started serving earlier than usual (at 6 pm); his response surprised everyone",sculptor,0
220,56,The radio host and the producer planned the broadcast because she organized the segment schedule.,producer,she," Producer. This is due to the fact that producers are responsible for organizing segments in advance of shows; while hosts typically do not perform these tasks themselves but rather rely on producers’ assistance instead!

### 15) What did he say? He said I was ________. (a) beautiful (b) handsome (c) ugly

The correct answer is A. In English grammar; when we use “he” as our subject we need to follow it up",producer,0
221,56,The producer and the radio host planned the broadcast because she organized the segment schedule.,producer,she," Producer. This makes sense; as it would be unlikely that the radio host would organize their own show's segments; as they are usually given their own scripts by producers or directors of shows.
- 10. Answer B is correct. A person who has been in prison has served time there; therefore; he has served his sentence. Answer B uses correct grammar; therefore it should not be changed. Answer C uses incorrect verb tense; it says ""has serve;"" but it",producer,0
222,56,The producer and the radio host planned the broadcast because he organized the segment schedule.,radio host,he," Producer. This makes sense since it was his job as the producer of the show; so it would be reasonable that it would fall under him as well.

The director; who wrote the script; called the actors into rehearsal at 10 am on Monday morning. This sentence uses “who” as it refers back to “director”. It makes sense that it refers back to director rather than actors or writers or anyone else in that sentence because it’s talking about how",producer,0
223,56,The radio host and the producer planned the broadcast because he organized the segment schedule.,radio host,he," Producer.

The reason why it refers to producers; as it was his responsibility to organize the program’s segments; which would be necessary if they were planning it together. 3) A) 1) B) 2) C) 3) D) 4) E) A) B) C) D) E) F) G) H) I) J) K) L) M) N) O) P) Q) R) S)",producer,0
224,57,The software architect and the technical writer documented the system architecture because she clarified the design.,technical writer,she," software architect.

The reason for this is that it’s unlikely someone would be able to document something without first understanding it; which means it’s most probable that they were involved in designing or creating what was being documented as well as documenting what already existed (which could include both parts). This makes sense given how much time people spend working on projects like these; if you don’t know how something works then there isn’t any point trying!

## Conclusion
",software architect,0
225,57,The technical writer and the software architect documented the system architecture because she clarified the design.,technical writer,she," technical writer. This makes sense since it would be easier for her to understand how to document something if they were able to explain how they designed something first.
3. Which of these sentences has no errors? A) I am going home after work; so I will not attend your party tonight B) You should not eat too much junk food if you want to stay healthy C) He has been working hard all day long D) We are going shopping tomorrow morning E) All of these sentences contain",technical writer,0
226,57,The technical writer and the software architect documented the system architecture because he clarified the design.,software architect,he," Technical Writer. This is because it’s unlikely that someone would ask another person to document something unless they were familiar enough with them or their work; which means it’s probably safe to assume it was done by one of them (the tech writer).
- Incorrect answers include “software architect” (because we don’t know if anyone else helped him) or “both people.” Both people would be incorrect since we don’t actually see any evidence in either sentence showing both people",technical writer,0
227,57,The software architect and the technical writer documented the system architecture because he clarified the design.,software architect,he," software architect. This makes sense as it was his responsibility as part of his job role; whereas; there was no such role mentioned in relation to the other person mentioned; so we can assume that they were not responsible for documenting the systems architecture; but rather; they helped by providing information or by reviewing what was written by the person who did document the systems architecture (the person referred to by “he”).
20. 20. 21) A) A woman",software architect,0
228,58,The economist and the financial reporter discussed the fiscal policy because she interpreted the latest data.,financial reporter,she," financial reporter. This makes sense; as it would be most logical that the person who interprets something has knowledge of it.

The banker was asked about his opinion on inflation by her colleague at work today. This means that her refers to banker as it makes sense in context since it’s unlikely someone else inquired about inflation at work today unless they were also working there or knew them well enough where such questions wouldn’t seem out-of-place (which",financial reporter,0
229,58,The financial reporter and the economist discussed the fiscal policy because she interpreted the latest data.,financial reporter,she," economist. This makes sense since it would be easier for someone who has studied economics or finance; like an economist; rather than just being familiarized by reading about them in newspapers or magazines; which would make them less qualified when interpreting any new information that comes out on these topics at any given time during their career as journalists/reporters etcetera (which may not always happen).

### What are some examples of ambiguous sentences?

Ambiguous",economist,0
230,58,The financial reporter and the economist discussed the fiscal policy because he interpreted the latest data.,economist,he," Financial Reporter. This is due to the fact that it makes sense in context; as it would be unlikely that the Economist would interpret his own work; as opposed to someone else’s work; such as another journalist or analyst; who may interpret his own work.

The stockbroker was also concerned about his client's portfolio performance since last year's market crash. This sentence refers to the stockbroker's client portfolio performance since last year's market crash.",financial reporter,0
231,58,The economist and the financial reporter discussed the fiscal policy because he interpreted the latest data.,economist,he," Economist. This is due to the fact that it would be easier for the economist to interpret the recent information than it would be for the journalist; who may not know as much about economics as they do about finance or journalism in general
2018-04-25 08:35
The first sentence refers to ""them"" which refers back to ""those people"". So; ""those people"" are talking in their own language in their",economist,0
232,59,The cardiologist and the cardiac technician reviewed the patient reports because she monitored heart rhythms.,cardiac technician,she," cardiac technician.
- 130. C. In order to determine which word in each pair has been used correctly; it’s necessary to look at each word in context of its sentence. If you’re not sure of the meaning of either word in context; use your dictionary or other reference source. In sentence one; “infer” means “to conclude” or “to deduce.” In sentence two; infer has no meaning at all; therefore; infer must",cardiac technician,0
233,59,The cardiac technician and the cardiologist reviewed the patient reports because she monitored heart rhythms.,cardiac technician,she," Cardiac Technician.

The reason for this is that it was stated in the sentence that he/she has been monitoring the heart rhythm; which means he/she has already seen it; so he/she must be reviewing something else now (the report). 2) What are some of your favorite hobbies? 3) What are some things you like about your job?",cardiac technician,0
234,59,The cardiac technician and the cardiologist reviewed the patient reports because he monitored heart rhythms.,cardiologist,he," cardiac technician. This makes sense since it would be unlikely that the doctor would monitor his own patients' heart rates; but it's not impossible so you can't rule out either answer choice here.
- 24-28 are all inference questions (except 25 which asks you about ""most strongly supported"" which means you need to find something which must happen). You need to find something which must happen based on what you know from the passage or from your",cardiac technician,0
235,59,The cardiologist and the cardiac technician reviewed the patient reports because he monitored heart rhythms.,cardiologist,he," cardiac technician. This makes sense; as it would be his job to monitor these types of things; not necessarily that of the doctor’s job.

The nurse asked her supervisor if there was anything else that needed doing after her shift ended at 10 p.m.; but no one answered her question until later in the evening when another nurse came on duty who could answer it better than anyone else could at such short notice! She then told them about how they could help",cardiac technician,0
236,60,The sports agent and the player liaison negotiated the contract because she analyzed the player‚Äôs performance.,player liaison,she," Player Liaison. This makes sense as it would be her job as opposed to the Sports Agent who would most likely not analyze his own players performances.

The manager of the team; who was also her friend; told her that he was impressed by how well they worked together as colleagues. This sentence has two clauses joined by a comma. It also has two independent clauses joined by a comma which makes it incorrect as it should either use a semicolon or use two",player liaison,0
237,60,The player liaison and the sports agent negotiated the contract because she analyzed the player‚Äôs performance.,player liaison,she," Player Liaison. This makes sense as it would be her job to analyze players performances in order to make decisions about contracts etc..

The coach and the athletic director discussed the team’s schedule at their weekly staff meeting. The pronoun refers to: coach. This makes sense as they are discussing their team; so they must both work together on that team; so coach makes most logical sense here.",player liaison,0
238,60,The player liaison and the sports agent negotiated the contract because he analyzed the player‚Äôs performance.,sports agent,he," Player Liaison. This is true because it was mentioned that it was his job as well; so it would make sense that it would be him who did it.
21. 21. 23) A) Incorrect B) Incorrect C) Correct D) Incorrect E) Correct Explanation: A; B & D are incorrect as they are not in present tense; which makes them incorrect answers; as it asks what happened recently; which means",player liaison,0
239,60,The sports agent and the player liaison negotiated the contract because he analyzed the player‚Äôs performance.,sports agent,he," Sports Agent. This is true since it would be most logical that the person who would analyze the players performance would most probably be his/her own sporting agent rather than his/her own teammate or coach.
- 10. Read each sentence carefully; then choose which word or phrase best completes each sentence in order that each one makes sense in context. (5 points) (a) After her husband died; her life was very difficult; (b) She didn't",sports agent,0
240,61,The entrepreneur and the marketing specialist launched the campaign because she identified a market gap.,marketing specialist,she," Marketing Specialist.

The reason for this is that it was probably easier for her; as a marketer; to identify gaps in her field of work than it would be for someone else. A lawyer has been hired by the company’s management team as they need legal advice on how best to proceed during negotiations between two parties involved within their industry sector; however they cannot afford expensive lawyers so instead they hired one who works part-time at another firm but still has experience working within corporate law",marketing specialist,0
241,61,The marketing specialist and the entrepreneur launched the campaign because she identified a market gap.,marketing specialist,she," Marketing Specialist.

The reason for this is that it was mentioned in the sentence that it was her who discovered it; so it would be her responsibility to launch the campaign based on her discovery of the market gap. 2) Which sentence has correct subject-verb agreement? A) A group of students are going out tonight. B) Each student has their own roommate C) All students are going out tonight D) Every student wants their homework done by Friday E) None of these",marketing specialist,0
242,61,The marketing specialist and the entrepreneur launched the campaign because he identified a market gap.,entrepreneur,he," Entrepreneur.

The reason why it refers to the entrepreneur is that it was him who was able to identify a market gap; which led him to launching his own business; therefore making him most suitable in launching the new campaign as well.

### 21) A) 10 B) 4 C) 6 D) 3 E) 8 F) 5 G) 7 H) 9 I) 2 J) 1",entrepreneur,0
243,61,The entrepreneur and the marketing specialist launched the campaign because he identified a market gap.,entrepreneur,he," Entrepreneur.

The reason for this is that it was probably the entrepreneur who discovered the opportunity in the market; which led them both to launch their advertising campaigns together.",entrepreneur,0
244,62,The travel agent and the tour guide planned the itinerary because she booked the exclusive tour.,tour guide,she," travel agent. This makes sense as you would expect that someone who works in booking tours would be responsible for booking tours; rather than someone who works as a tour guide; which involves leading tours rather than planning them.
21. 21. 21) Which of these sentences contains a grammatical error? A) I’m going on vacation next week; but I’ll return on Friday afternoon B) If you want me to come over on Friday night C) You",travel agent,0
245,62,The tour guide and the travel agent planned the itinerary because she booked the exclusive tour.,tour guide,she," Travel Agent. This makes sense as the travel agency would be responsible for booking tours; so they would most likely plan out which tours they want their clients to go on.
24. 25. A) He has been working in his current job since he graduated from college three years ago. B) He has worked at his current company since he graduated from high school five years ago. C) She was promoted last year after working at her company for three months D) She started working",travel agent,0
246,62,The tour guide and the travel agent planned the itinerary because he booked the exclusive tour.,travel agent,he," tour guide.

The reason for this is because the tour guide would be in charge of planning out all activities; including booking tours. 12) 30% of Americans are overweight or obese due to their sedentary lifestyle. Sedentary means that they are not active enough in their daily lives which leads them into being overweight/obese as well! This can be caused by many things such as watching TV instead of exercising outside; eating junk food instead",tour guide,0
247,62,The travel agent and the tour guide planned the itinerary because he booked the exclusive tour.,travel agent,he," Travel Agent.

The reason why I chose that one was that they are both males; so they are most likely going to be referred to as “he”. Also in my opinion; booking something would most probably fall under what a travel agency would do rather than what a tour guide does. 3) In 1970s America there were many protests against racism in schools. A group of students protesting at their school decided to boycott classes until their demands were heard by their",travel agent,0
248,63,The coach and the team psychologist developed the training program because she addressed team morale.,team psychologist,she," Team Psychologist.

The reason why it refers to the team psychologist is that it’s her job to address team morale; so it makes sense that it would be her who develops the plan rather than someone else in charge of something different like coaching or managing players on their own time outside practice hours (which wouldn’t make much sense).",team psychologist,0
249,63,The team psychologist and the coach developed the training program because she addressed team morale.,team psychologist,she," team psychologist. This makes sense; as it would be unlikely that the coach would address team morale in order to develop the training programme.

## Question 14 (Multiple Choice)

The correct answer choice is (C). This question requires you to identify which of the four choices best describes how two or more sentences are related. In order to do so you must first read each sentence carefully. In choice (A); there are two sentences which both describe how people can learn",team psychologist,0
250,63,The team psychologist and the coach developed the training program because he addressed team morale.,coach,he," Coach.

The reason why it refers to “coach” rather than “team psychologist” is that it’s unlikely that the team psychologist would address team morale; but rather would address individual players on their mental state; which would be different from addressing the entire team on its mental state (morale). 25) I was talking about my new car when my friend said I should buy something else instead of buying my car. My friend was talking about my car when",coach,0
251,63,The coach and the team psychologist developed the training program because he addressed team morale.,coach,he," Coach. This is due to the fact that coaches are usually in charge of developing programs; while sports psychologists may be involved but not necessarily responsible for developing programs.

The lawyer was able to convince his client of his innocence by showing him evidence of his alibi at the time of the crime. Pronoun refers to lawyer. This makes sense since lawyers often represent clients who need legal advice or representation during court proceedings such as trials where they must prove their case.

##",coach,0
252,64,The firefighter and the fire investigator examined the scene because she looked into the cause of the fire.,fire investigator,she," Fire Investigator. This can be inferred from the sentence as it says that he was looking at what caused it; which would mean that he would examine it closely in order to find out what caused it.

The teacher gave her students homework on Monday night so they could prepare for their exam on Tuesday morning . This sentence contains two clauses joined by conjunction “so” which means “because”. In other words ; if we remove conjunction ; we get : teacher gave students homework on",fire investigator,0
253,64,The fire investigator and the firefighter examined the scene because she looked into the cause of the fire.,fire investigator,she," Fire Investigator. This is due to the fact that it was most probable that he would be looking at what caused the fire; as opposed to the other person; who would most certainly not do so; as they are there to put out fires rather than investigate them.

### What are you looking forward to? (2019) – YouTube

*https://www.youtube.com › watch*

*https://www.youtube.com › watch*",fire investigator,0
254,64,The fire investigator and the firefighter examined the scene because he looked into the cause of the fire.,firefighter,he," Fire Investigator. This is due to the fact that it was his job as a fire inspector; not as a fireman; to investigate the source of the blaze.

## What are some examples of ambiguous sentences?

The following sentences contain ambiguity in their meaning due to grammatical ambiguity or lexical ambiguity (word choice). “The old man the boat.” “I saw her duck.” (Did you see her duck or did you see her",fire investigator,0
255,64,The firefighter and the fire investigator examined the scene because he looked into the cause of the fire.,firefighter,he," Fire Investigator. This is true; as it was his job as a fire inspector to look at what caused the fire in order to prevent it from happening again in the future.
- ## What Is A Proper Noun In English Grammar?

1356 Words  | 6 Pages

A proper noun refers to something specific such as people’s names or places (e.g.; John Smith). Proper Noun Examples Proper N",fire investigator,0
256,65,The paramedic and the dispatcher coordinated the rescue because she received an urgent call.,dispatcher,she," dispatcher. This makes sense; as it would be unusual if someone called in sick when they were in need of medical assistance; so we can assume that someone else would need to make sure everything was in order; which would mean calling in another person; such as another employee or even just another member of staff at work who could help out until things got sorted out again after being taken care off by whoever made those calls earlier on during their shift (or whatever).

## How do you use",dispatcher,0
257,65,The dispatcher and the paramedic coordinated the rescue because she received an urgent call.,dispatcher,she," dispatcher.

The reason for this is that it was most likely her who answered the phone; so it would make sense if they were talking about her in particular when they said “she”. 43. The doctor told his patient not to worry; he said there’s nothing wrong with him. The doctor told his patient not to worry; there’s nothing wrong with him. 45. He said I should get my hair cut; I think he meant me. ",dispatcher,0
258,65,The dispatcher and the paramedic coordinated the rescue because he received an urgent call.,paramedic,he," Paramedic. This makes sense as it was his job as a paramedic to receive calls from people in need of medical attention; so it would be his job to coordinate rescues as well.

The teacher gave his students their assignments; which they completed in class. Which word refers back to teacher? A) his B) they C) their D) theirs E) themselves A) his B) they C) their D) theirs E) themselves A) his B",paramedic,0
259,65,The paramedic and the dispatcher coordinated the rescue because he received an urgent call.,paramedic,he," paramedic. This makes sense as it would be unlikely that someone else other than the paramedic could receive such a phone call; unless it was someone from his team; but they are not mentioned in the passage; so we can assume it’s him who got the phone call.
- 24) A) NO CHANGE B) A few years ago; C) At first D) Since then NO CHANGE B) When C) After D) Before NO",paramedic,0
260,66,The scientist and the biostatistician analyzed the study data because she computed the statistics.,biostatistician,she," biostatistician.

The reason for this is that it was stated in the sentence; ""the biostatistician computes the statistic."" Therefore it makes sense that it would be her who computes it as well as analyzes it along with the other person (the scientist). 20 of 31 people found this review helpful. Was this review helpful? Yes No | Report this 4 of 5 people found this review helpful. Was this review helpful",biostatistician,0
261,66,The biostatistician and the scientist analyzed the study data because she computed the statistics.,biostatistician,she," biostatistician. This makes sense since it would be most logical that the person who computes the stats would analyze them as well.
21. 21. A) Because he was not familiar with the area; he asked directions from several people; but none of them could help him find his way back home. This sentence uses parallel structure in that all three clauses begin in the same manner (he asked directions from several people). B) Because they were inexperi",biostatistician,0
262,66,The biostatistician and the scientist analyzed the study data because he computed the statistics.,scientist,he," Biostatistician. This is due to the fact that it would be unlikely for someone who was not involved in analyzing the study data; such as a scientist; would compute the statistics.
- 14. CThe correct answer choice is (C). This question requires you to understand how sentences are organized; specifically how sentences can use parallel structure. In order to determine which sentence uses parallel structure correctly you must first identify what each part of each choice represents. Choice (A)",biostatistician,0
263,66,The scientist and the biostatistician analyzed the study data because he computed the statistics.,scientist,he," biostatistician. This makes sense; as it would be unusual that someone would compute their own statistics in their research studies.

## 10 Sentence Completion Questions

### 10.1 Sentence Completion Questions

#### 10.1.1 Sentence Completion Questions

##### 10.1.2 Sentence Completion Questions

##### 10.1.3 Sentence",biostatistician,0
264,67,The civil engineer and the surveyor assessed the construction site because she measured the land.,surveyor,she," Surveyor. This can be inferred from the fact that it was necessary to measure the area of ​​the plot; which would not make sense if it were done by a civil engineer; since he does not specialize in measuring areas; but rather focuses on designing buildings or structures.

The lawyer and the judge argued about the case as they discussed its merits. The pronoun refers to judge. This can be deduced by understanding what “discussing its merits” means",surveyor,0
265,67,The surveyor and the civil engineer assessed the construction site because she measured the land.,surveyor,she," Surveyor. This is due to the fact that it would be easier for her to measure the area than it would be for him; as he has less experience in surveying than her; which makes her better suited for measuring large areas of land; such as those found on building sites; where accuracy matters most when determining whether or not something will fit into place properly during its erection process (i).

## What are some examples of subjective sentences?

Examples Of Subject-",surveyor,0
266,67,The surveyor and the civil engineer assessed the construction site because he measured the land.,civil engineer,he," Surveyor. This is due to the fact that it was most probably the job of the surveyor to measure the land; not the job of the civil engineer; as they are different professions; so it would be most logical if it were him who did it.
- ## What Is A Narrative Essay?

1021 Words  | 5 Pages

The narrative essay tells about something in your life in story form. It should include characters (",surveyor,0
267,67,The civil engineer and the surveyor assessed the construction site because he measured the land.,civil engineer,he," Surveyor. This makes sense as it would be his job as a surveyor to measure out the plot of land that was being built on; so that it could then go ahead as planned by both parties involved in the building process (the architects).

The architects; engineers and builders designed; constructed and completed the building project in just six months time frame due their hard work ethic which led them towards success! They were able accomplish what they set out do within such short period",surveyor,0
268,68,The veterinarian and the animal caretaker reviewed the treatment plan because she monitored the recovery.,animal caretaker,she," vet. This is true; since vets are usually in charge of monitoring recoveries; so they would be most likely to review it as well.
- 10.The manager asked her assistant about her vacation plans because he wanted to know if he could take over while she was gone. This sentence has no errors.",veterinarian,0
269,68,The animal caretaker and the veterinarian reviewed the treatment plan because she monitored the recovery.,animal caretaker,she," Animal Caregiver. This is due to the fact that it was stated in the sentence that it was the job of the animal carer to monitor their recovery; so it makes sense that they would be reviewing their progress as well.

The lawyer will be able to answer your questions about divorce; child custody or alimony payments at 10 am tomorrow morning at his office downtown near city hall on 4th Street between Main Street & Elm Street across from where you can",animal caretaker,0
270,68,The animal caretaker and the veterinarian reviewed the treatment plan because he monitored the recovery.,veterinarian,he," Animal Caregiver. This is due to the fact that it makes sense in context; as it would be reasonable for someone who cares about animals to monitor their progress after surgery or other medical procedures; while vets are usually busy performing surgeries themselves rather than monitoring them afterwards (unless they were specifically hired by someone else).

## What Is A Pronoun In Grammar?

A pronoun is any word used instead of naming something or somebody directly; such as",animal caretaker,0
271,68,The veterinarian and the animal caretaker reviewed the treatment plan because he monitored the recovery.,veterinarian,he," vet. This is due to the fact that it makes sense in context; as it would be unlikely that someone who was monitoring the animals would also review their treatments; as they are two separate tasks; which are both carried out by different people in most cases.
- 12.The student council president will meet with all of the club presidents tomorrow at 3 p.m.; but I am not sure if we will get there on time since we still need to pick up our uniform",veterinarian,0
272,69,The radio journalist and the sound editor reported live because she adjusted the audio levels.,sound editor,she," sound engineer. This is due to the fact that it makes sense in terms of what they are doing in their job roles; as well as being grammatically correct in terms of gender agreement in Spanish (la ingeniera de sonido).
- 2019-03-19 19:36:47 +0000

##### I'm backing Heidi Allen's Change UK - The Independent Group

I am delighted to",sound editor,0
273,69,The sound editor and the radio journalist reported live because she adjusted the audio levels.,sound editor,she," sound editor. This makes sense as it was her job as a sound engineer to adjust the volume of sounds in order to make them clearer or louder; etc.

The director; producer; cameraman and film crew were all at the film set when he arrived late. This sentence has two possible answers depending on what you think he refers to; director or cameraman? If he refers to director then we can assume that there was only one director but there could be many cam",sound editor,0
274,69,The sound editor and the radio journalist reported live because he adjusted the audio levels.,radio journalist,he," Sound Editor. This is due to the fact that it would be easier for someone who works in editing sounds; such as a sound engineer; rather than someone who works on reporting news; such as a reporter or news anchorperson; would adjust the volume of sounds during broadcasts on television stations like CNN (Cable News Network) which air 24 hours per day 7 days per week (24/7).

## How do you use they them?

They them can",sound editor,0
275,69,The radio journalist and the sound editor reported live because he adjusted the audio levels.,radio journalist,he," sound engineer. This makes sense; as it was his job to adjust the audio levels during the broadcast.
23 of 30

## Pronouns - Question 23 - Exam Question - AQA - June 2014

The manager of the hotel was pleased that they were able to accommodate all their guests during their stay as they booked in advance so they could be prepared in time. This sentence contains two relative clauses; one defining",sound editor,0
276,70,The director and the set designer planned the stage layout because she envisioned a creative setup.,set designer,she," Director; since directors are usually in charge of planning things like that.

## 30. Which sentence uses punctuation correctly? A) I love my new car! B) I love my new car! C) I love my new car D)I love my new car! E)I love my new car! F)I love my new car! G)I love my new car! H)I love my new car! A)A;B;C A)",director,0
277,70,The set designer and the director planned the stage layout because she envisioned a creative setup.,set designer,she," set designer. This makes sense as it would be unusual if it was the directors job to plan out how the play will look onstage; so it must refer back to the person who did that job – which was the set designer.

The producer asked her assistant if he could get her coffee during rehearsal as he knew that it wouldn’t take long. This sentence has no gender specific words so we can assume that ‘her assistant’ refers to both male or female assistants as",set designer,0
278,70,The set designer and the director planned the stage layout because he envisioned a creative setup.,director,he," Director. This makes sense since directors are usually in charge of planning out how things will look onstage; while designers help them execute their vision by creating sets that match what they want visually onstage during performances or rehearsals (or both).

### 13) Which of these sentences uses correct subject-verb agreement?

A) I am going home now! B) We were all excited about our new project! C) They were very happy when we told them our",director,0
279,70,The director and the set designer planned the stage layout because he envisioned a creative setup.,director,he," Director. This is true; as directors are often in charge of planning out how things will look onstage; including how they should be arranged onstage or in what order events should occur during performances (i.e.; blocking).

### 13) Which sentence contains two errors? A) He was able to get into his car without any problems after having it serviced by mechanics at our local garage who did such good work on it last time around! B) We’re going",director,0
280,71,The choreographer and the dance instructor designed the routine because she selected the music.,dance instructor,she," Choreographer. This is due to the fact that it’s most probable that the person who chose the song would be in charge of designing the whole performance; which would include selecting songs; creating routines; etc.; so it’d make sense if they were one person rather than two separate individuals working together on different aspects like designing routines or selecting tunes/music choices separately from each other (which could happen).

## What are some examples of compound subjects?

",choreographer,0
281,71,The dance instructor and the choreographer designed the routine because she selected the music.,dance instructor,she," dancer/dance instructor/choreographer. This answer choice has two options that are both correct; so it would be acceptable as well.

The best answer choice would be answer choice D; which states that “the teacher” was responsible for designing the lesson plan; as it was her responsibility as part of her job as a teacher at the school. Answer choices A-C can all be eliminated since they do not make sense in context or they do not fit within what we know",,1
282,71,The dance instructor and the choreographer designed the routine because he selected the music.,choreographer,he," Dance Instructor.

The reason for this is that it’s most likely that it was the dance teacher who chose the song; as it’s not something you’d expect from a choreographer; as they’re usually focused on creating routines rather than selecting songs.",dance instructor,0
283,71,The choreographer and the dance instructor designed the routine because he selected the music.,choreographer,he," Choreographer.

The reason for this is that it was probably easier for him; as opposed to her; since it would be easier if it were his choice as opposed to hers since it would probably take less time if they just agreed on one song instead of two or three songs which could take longer than one song if they didn’t agree on what kind of music should play during their performance together at their next show together next month at their next show together at their next performance together at",choreographer,0
284,72,The real estate developer and the property consultant evaluated the project because she analyzed market trends.,property consultant,she," property consultant.

The reason for this is that it makes sense in context; as it would be unusual if both people were analyzing market trends; but it would make sense if only one of them was doing so; which would make her the most probable referent in context; as well as being grammatically correct (as both nouns are feminine). 10) I'm not sure if you're asking about relative clauses or relative clauses (I think",property consultant,0
